smard_year,site_id,case_id,carrier,label,is_reference,capacity_basis,energy_mwh_per_mw_a,raw_energy_mwh_per_mw_a,normalization_factor,market_revenue_eur_per_mw_a,market_value_eur_per_mwh,displaced_thg_t_co2e_per_mw_a,displaced_thg_t_co2e_per_mwh,smard_hourly_correlation,smard_monthly_share_mae_pp,normalization_mode,smard_shape_market_value_eur_per_mwh,market_value_profile_delta_pct,smard_shape_displaced_thg_t_co2e_per_mw_a,thg_profile_delta_pct,validation_status,method,source,source_url
2024,SMARD Deutschland,pv_reference,Solar,PV · SMARD-Netzeinspeisung,1,MWp DC,680.3649330914845,680.3649330914845,1.0,31319.485371316823,46.033362167866876,548.0009564432091,0.805451500789684,,,none,46.033362167866876,0.0,548.0009564432091,0.0,SMARD-NETZEINSPEISUNG · KEINE ERTRAGSNORMIERUNG,Stündliche realisierte SMARD-Netzeinspeisung geteilt durch linear zwischen den UBA/AGEE-Stat-Jahresendbeständen interpolierte installierte Leistung; stündlicher Day-ahead-Preis und stündlicher fossiler SMARD-Restmix,SMARD realisierte Nettostromerzeugung 2024; UBA/AGEE-Stat Kapazitäten 2023/2024,https://www.umweltbundesamt.de/system/files/medien/479/publikationen/2026-03/UBA_Erneuerbare%20Energien%20in%20Deutschland%202025.pdf
2024,kassel_51.3127_9.4797_167,pv_sued_30,Solar,PV Süd 30°,0,MWp DC,1009.5199999999998,720.9362557593,1.4068376433570626,45360.16902462338,44.93241245802301,813.8937252008639,0.8062185248443459,0.910779937671859,0.6101852123830508,output_scale_with_physical_cap,46.2253866567837,-2.7971084554918257,813.7616264206905,0.016233105111429502,LITERATURNORMIERT · DEUTLICHE NORMIERUNG,Literatur-Jahresertrag; SMARD-Profil- und THG-Vergleich; Artikelwert aus normiertem Stundenprofil mal stündlichem fossilen SMARD-Restmix neu berechnet,"PVGIS 5.3 SARAH3, Kassel, 2005–2023, 14 % Verluste",https://joint-research-centre.ec.europa.eu/photovoltaic-geographical-information-system-pvgis/using-pvgis-5/api-non-interactive-service_en
2024,kassel_51.3127_9.4797_167,pv_sued_60,Solar,PV Süd 60°,0,MWp DC,963.4299999999998,647.1245396561992,1.494658042069564,43054.78193786862,44.68906089479114,776.6153806980922,0.8060942473226828,0.8949371412096386,0.6416674283190152,output_scale_with_physical_cap,46.22538665678368,-3.323554161698028,776.6090456281065,0.0008157347665793679,LITERATURNORMIERT · DEUTLICHE NORMIERUNG,Literatur-Jahresertrag; SMARD-Profil- und THG-Vergleich; Artikelwert aus normiertem Stundenprofil mal stündlichem fossilen SMARD-Restmix neu berechnet,"PVGIS 5.3 SARAH3, Kassel, 2005–2023, 14 % Verluste",https://joint-research-centre.ec.europa.eu/photovoltaic-geographical-information-system-pvgis/using-pvgis-5/api-non-interactive-service_en
2024,kassel_51.3127_9.4797_167,pv_ost_west_15,Solar,PV Ost–West 15°,0,MWp DC,847.1599999999996,677.5424210766995,1.2503423750999336,38531.920939324234,45.48364056296833,683.0234915086061,0.8062508752875565,0.9253184229582354,0.648060456822564,output_scale_with_physical_cap,46.22538665678374,-1.6046292902269443,682.88523202963,0.02024637120430217,LITERATURNORMIERT · DEUTLICHE NORMIERUNG,Literatur-Jahresertrag; SMARD-Profil- und THG-Vergleich; Artikelwert aus normiertem Stundenprofil mal stündlichem fossilen SMARD-Restmix neu berechnet,"PVGIS 5.3 SARAH3, Mittel Ost/West, Kassel, 2005–2023, 14 % Verluste",https://joint-research-centre.ec.europa.eu/photovoltaic-geographical-information-system-pvgis/using-pvgis-5/api-non-interactive-service_en
2024,kassel_51.3127_9.4797_167,pv_ost_west_30,Solar,PV Ost–West 30°,0,MWp DC,821.6600000000001,644.542244702406,1.2747961933501686,37745.52399635714,45.9381301223829,662.3788018391127,0.8061470703686594,0.9266678728495678,0.6224901936242264,output_scale_with_physical_cap,46.2253866567837,-0.6214259202062089,662.3299963991053,0.0073687497580854355,LITERATURNORMIERT · DEUTLICHE NORMIERUNG,Literatur-Jahresertrag; SMARD-Profil- und THG-Vergleich; Artikelwert aus normiertem Stundenprofil mal stündlichem fossilen SMARD-Restmix neu berechnet,"PVGIS 5.3 SARAH3, Mittel Ost/West, Kassel, 2005–2023, 14 % Verluste",https://joint-research-centre.ec.europa.eu/photovoltaic-geographical-information-system-pvgis/using-pvgis-5/api-non-interactive-service_en
2024,SMARD Deutschland,wind_onshore_reference,Wind an Land,Wind an Land · SMARD-Netzeinspeisung,1,MW Nennleistung,1810.4300454663294,1810.4300454663294,1.0,116661.90354200744,64.43878007556914,1417.7461161150923,0.7830990872391925,,,none,64.43878007556914,0.0,1417.7461161150923,0.0,SMARD-NETZEINSPEISUNG · KEINE ERTRAGSNORMIERUNG,Stündliche realisierte SMARD-Netzeinspeisung geteilt durch linear zwischen den UBA/AGEE-Stat-Jahresendbeständen interpolierte installierte Leistung; stündlicher Day-ahead-Preis und stündlicher fossiler SMARD-Restmix,SMARD realisierte Nettostromerzeugung 2024; UBA/AGEE-Stat Kapazitäten 2023/2024,https://www.umweltbundesamt.de/system/files/medien/479/publikationen/2026-03/UBA_Erneuerbare%20Energien%20in%20Deutschland%202025.pdf
2024,kassel_51.3127_9.4797_167,wind_standard,Wind an Land,Wind Standardanlage,0,MW Nennleistung,2049.999999999999,777.0736865093539,1.4521857346729088,117051.81785010302,57.098447731757595,1604.3395932990506,0.7826046796580738,0.7131204903047061,1.0121129953541277,wind_speed_scale,64.53999076891309,-11.53012721027511,1605.6919692211322,-0.08422387033159007,LITERATURKALIBRIERT · DEUTLICHE WINDKALIBRIERUNG · MARKTWERT-PROFIL SENSITIV,Literatur-Jahresertrag; SMARD-Profil- und THG-Vergleich; Artikelwert aus normiertem Stundenprofil mal stündlichem fossilen SMARD-Restmix neu berechnet,"Deutsche WindGuard 2026, Region Mitte: rund 2.090 langzeit- und netzkorrigierte Volllaststunden; rund 2 % Netzausfallkorrektur für den marktseitig zugänglichen Ertrag wieder abgezogen",https://www.windguard.de/veroeffentlichungen.html?file=files%2Fcto_layout%2Fimg%2Funternehmen%2Fveroeffentlichungen%2F2026%2FVolllaststunden+von+Windenergieanlagen+an+Land.pdf
2024,kassel_51.3127_9.4797_167,wind_schwachwind,Wind an Land,Wind Schwachwindanlage,0,MW Nennleistung,2299.9999999999995,1365.0341910945717,1.2617260138960487,132791.41664629575,57.73539854186773,1802.1805353345749,0.7835567544932935,0.6981290257519652,1.0419754636732048,wind_speed_scale,64.53999076891314,-10.543218469629789,1801.508063028588,0.037328298428840334,LITERATURKALIBRIERT · DEUTLICHE WINDKALIBRIERUNG · MARKTWERT-PROFIL SENSITIV,Literatur-Jahresertrag; SMARD-Profil- und THG-Vergleich; Artikelwert aus normiertem Stundenprofil mal stündlichem fossilen SMARD-Restmix neu berechnet,Deutsche WindGuard 2026: Senkung der spezifischen Flächenleistung von 300 auf 250 W/m² erhöht Volllaststunden um rund 12 %,https://www.windguard.de/veroeffentlichungen.html?file=files%2Fcto_layout%2Fimg%2Funternehmen%2Fveroeffentlichungen%2F2026%2FVolllaststunden+von+Windenergieanlagen+an+Land.pdf
2024,SMARD Deutschland,wind_offshore_reference,Wind auf See,Wind auf See · SMARD-Netzeinspeisung,1,MW Nennleistung,2911.511692562104,2911.511692562104,1.0,207166.2913328724,71.15420208069573,2294.6005122976594,0.7881131022621556,,,none,71.15420208069573,0.0,2294.6005122976594,0.0,SMARD-NETZEINSPEISUNG · KEINE ERTRAGSNORMIERUNG,Stündliche realisierte SMARD-Netzeinspeisung geteilt durch linear zwischen den UBA/AGEE-Stat-Jahresendbeständen interpolierte installierte Leistung; stündlicher Day-ahead-Preis und stündlicher fossiler SMARD-Restmix,SMARD realisierte Nettostromerzeugung 2024; UBA/AGEE-Stat Kapazitäten 2023/2024,https://www.umweltbundesamt.de/system/files/medien/479/publikationen/2026-03/UBA_Erneuerbare%20Energien%20in%20Deutschland%202025.pdf
2024,SMARD Deutschland,biomass_reference,Biomasse,Biomasse · SMARD-Netzeinspeisung,1,MW Nennleistung,3431.307740443217,3431.307740443217,1.0,275941.4149828955,80.41873124071714,2716.3478249014543,0.7916363178053472,,,none,80.41873124071714,0.0,2716.3478249014543,0.0,SMARD-NETZEINSPEISUNG · KEINE ERTRAGSNORMIERUNG,Stündliche realisierte SMARD-Netzeinspeisung geteilt durch linear zwischen den UBA/AGEE-Stat-Jahresendbeständen interpolierte installierte Leistung; stündlicher Day-ahead-Preis und stündlicher fossiler SMARD-Restmix,SMARD realisierte Nettostromerzeugung 2024; UBA/AGEE-Stat Kapazitäten 2023/2024,https://www.umweltbundesamt.de/system/files/medien/479/publikationen/2026-03/UBA_Erneuerbare%20Energien%20in%20Deutschland%202025.pdf
